Contour Area,Mean,Blinking,Emotion,Music
304,38.9085,1,3,1
,,,,
317.5,39.40986,1,3,1
,,,,
337,38.8589,1,3,1
,,,,
348,38.588478,1,3,1
,,,,
399,38.813076,1,3,1
,,,,
399,38.813076,0,3,1
,,,,
399,38.567913,0,3,1
,,,,
399,38.570023,1,3,1
,,,,
399,38.82168,1,3,1
,,,,
399,38.798058,0,3,1
,,,,
335,39.292725,0,3,1
,,,,
335,39.76747,1,3,1
,,,,
399,39.268784,0,3,1
,,,,
399,38.798256,1,3,1
,,,,
399,38.31939,1,3,1
,,,,
399,38.54628,1,3,1
,,,,
368,38.533585,1,3,1
,,,,
399,38.08547,0,3,1
,,,,
335,38.51839,0,3,1
,,,,
337,38.922623,0,3,1
,,,,
399,38.70153,0,3,1
,,,,
399,38.90605,0,3,1
,,,,
399,38.885597,0,1,1
,,,,
304,39.086536,1,3,1
,,,,
335,38.87092,1,3,1
,,,,
335,38.65779,1,3,1
,,,,
304,38.44847,0,5,1
,,,,
335,38.405994,1,3,1
,,,,
399,38.042755,1,3,1
,,,,
399,37.84272,0,3,1
,,,,
335,38.00619,0,3,1
,,,,
335,37.813686,1,3,1
,,,,
335,37.782265,1,3,1
,,,,
335,37.582363,0,3,1
,,,,
399,37.189003,0,3,1
,,,,
399,36.80622,0,3,1
,,,,
335,36.961044,1,3,1
,,,,
335,36.948513,1,3,1
,,,,
304,37.12125,0,3,1
,,,,
399,36.934093,0,3,1
,,,,
399,36.751003,0,3,1
,,,,
399,36.743664,0,3,1
,,,,
399,37.081066,1,5,1
,,,,
342.5,37.247383,0,3,1
,,,,
337,37.230316,1,4,1
,,,,
335,37.544212,1,4,1
,,,,
335,37.20494,0,3,1
,,,,
304,37.35571,0,3,1
,,,,
304,37.3499,1,3,1
,,,,
335,37.502583,0,3,1
,,,,
399,37.484444,0,3,1
,,,,
368,37.63365,1,3,1
,,,,
335,37.461662,1,3,1
,,,,
399,37.4419,1,3,1
,,,,
335,37.74822,0,3,1
,,,,
399,37.584236,1,3,1
,,,,
368,37.276524,0,3,1
,,,,
399,37.587112,1,3,1
,,,,
304,37.293964,0,3,1
,,,,
399,37.596222,0,3,1
,,,,
310,37.892723,1,3,1
,,,,
335,38.18141,1,3,1
,,,,
376,38.317352,0,3,1
,,,,
368,38.296223,0,5,1
,,,,
368,37.978806,1,5,1
,,,,
304,37.66253,0,5,1
,,,,
335,37.7878,0,5,1
,,,,
335,38.03828,1,5,1
,,,,
335,38.17087,1,5,1
,,,,
368,38.15218,1,5,1
,,,,
399,37.86281,0,5,1
,,,,
310,37.571682,1,5,1
,,,,
399,37.690464,1,5,1
,,,,
335,37.558125,0,5,1
,,,,
304,37.53594,0,5,1
,,,,
304,37.400608,1,3,1
,,,,
335,37.50642,0,5,1
,,,,
368,37.37226,1,3,1
,,,,
399,37.239147,1,3,1
,,,,
335,37.098686,0,3,1
,,,,
304,37.091583,0,5,1
,,,,
368,36.937428,0,3,1
,,,,
399,37.062687,1,5,1
,,,,
399,37.038635,0,5,1
,,,,
399,37.025414,1,5,1
,,,,
399,37.13619,0,5,1
,,,,
310,37.133472,0,5,1
,,,,
335,37.002556,1,5,1
,,,,
399,37.122093,1,5,1
,,,,
399,37.115562,0,5,1
,,,,
335,37.23392,0,5,1
,,,,
368,37.225803,0,5,1
,,,,
335,37.334965,0,5,1
,,,,
335,37.207024,1,5,1
,,,,
337,37.195312,0,5,1
,,,,
335,nan,0,5,2
,,,,
335,13.483466,0,5,2
,,,,
304,39.899868,1,5,2
,,,,
335,27.679697,0,5,2
,,,,
376,21.676659,0,5,2
,,,,
337,17.78854,0,5,2
,,,,
304,26.017107,1,5,2
,,,,
